datetime,Shortwave_Radiation_Downwelling_wattPerMeterSquared,Longwave_Radiation_Downwelling_wattPerMeterSquared,Air_Temperature_celsius,Relative_Humidity_percent,Ten_Meter_Elevation_Wind_Speed_meterPerSecond,Precipitation_millimeterPerDay,Snowfall_millimeterPerDay,Surface_Level_Barometric_Pressure_pascal
2017-08-01 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-02 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-03 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-04 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-05 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-06 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-07 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-08 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-09 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-10 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-11 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-12 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-13 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-14 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-15 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-16 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-17 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-18 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-19 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-20 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-21 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-22 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-23 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-24 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-25 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-26 00:00:00,NA,NA,NA,NA,NA,0,0,100000
2017-08-27 00:00:00,212.809428571429,443.42,26.2495208333333,81.6425,NA,0,0,100828.72625
2017-08-28 00:00:00,139.225625,446.241666666667,25.5773541666667,81.78125,NA,0,0,100496.768125
2017-08-29 00:00:00,216.593541666667,425.072916666667,25.6387708333333,81.9458333333333,NA,0,0,100937.092291667
2017-08-30 00:00:00,264.84375,431.827083333333,26.9595833333333,82.401875,0.963333333333333,0,0,101186.043958333
2017-08-31 00:00:00,239.011666666667,416.50625,27.6605,82.4285416666667,1.161875,0,0,101288.513125
2017-09-01 00:00:00,229.032083333333,420.2875,NA,82.2335416666667,1.23354166666667,0,0,101219.811041667
2017-09-02 00:00:00,109.052708333333,421.8375,NA,81.9725,1.039375,0,0,101279.44125
2017-09-03 00:00:00,277.405208333333,400.06875,NA,82.3539583333333,0.632291666666667,0,0,101379.994583333
2017-09-04 00:00:00,186.881875,411.489583333333,NA,82.3502083333333,0.749791666666667,0,0,101335.296458333
2017-09-05 00:00:00,198.314166666667,411.93125,NA,82.386875,0.763333333333333,0,0,101185.030416667
2017-09-06 00:00:00,132.071875,425.84375,NA,82.3285416666667,0.942083333333333,0,0,101023.6
2017-09-07 00:00:00,194.127708333333,417.495833333333,NA,82.1441666666667,1.411875,0,0,101029.799583333
2017-09-08 00:00:00,216.35875,409.970833333333,NA,82.2085416666667,2.39916666666667,0,0,101170.06625
2017-09-09 00:00:00,146.067083333333,437.785416666667,NA,82.158125,2.970625,0,0,101017.844375
2017-09-10 00:00:00,22.43875,435.475,NA,82.2227083333333,3.51479166666667,0,0,100649.42
2017-09-11 00:00:00,-0.032857142857143,437.014285714286,NA,82.7702083333333,5.92714285714286,0,0,98914.5525
2017-09-12 00:00:00,NA,NA,NA,82.45375,NA,0,0,100422.766041667
2017-09-13 00:00:00,NA,NA,NA,82.3785416666667,NA,0,0,100907.69375
2017-09-14 00:00:00,383.155666666667,412.693333333333,NA,82.6095833333333,NA,0,0,101083.104375
2017-09-15 00:00:00,210.313541666667,430.6125,NA,82.7089583333333,NA,0,0,101225.965
2017-09-16 00:00:00,163.444583333333,418.652083333333,NA,82.5172916666667,NA,0,0,101236.213333333
2017-09-17 00:00:00,243.241875,393.4875,NA,82.2214583333333,1.62135135135135,0,0,101205.699166667
2017-09-18 00:00:00,222.87125,387.352083333333,NA,81.868125,1.32854166666667,0,0,101162.455208333
2017-09-19 00:00:00,219.087916666667,383.585416666667,NA,81.5670833333333,0.711875,0,0,101019.320625
2017-09-20 00:00:00,225.444791666667,392.604166666667,NA,81.5820833333333,0.546875,0,0,101230.682916667
2017-09-21 00:00:00,217.070416666667,398.4,NA,81.3683333333333,0.977291666666667,0,0,101161.19625
2017-09-22 00:00:00,236.047083333333,390.835416666667,NA,81.0847916666667,1.67625,0,0,101046.719583333
2017-09-23 00:00:00,195.684166666667,408.029166666667,NA,81.035,1.581875,0,0,100957.731041667
2017-09-24 00:00:00,241.548125,403.716666666667,NA,81.2327083333333,1.91833333333333,0,0,100809.868958333
2017-09-25 00:00:00,248.898125,394.404166666667,NA,81.098125,1.113125,0,0,100809.449375
2017-09-26 00:00:00,257.225416666667,391.727083333333,NA,80.96625,0.901458333333333,0,0,100873.66375
2017-09-27 00:00:00,249.774583333333,392.9125,NA,80.941875,0.72,0,0,100875.300625
2017-09-28 00:00:00,199.85125,399.622916666667,NA,80.720625,0.52,0,0,100909.761875
2017-09-29 00:00:00,239.074583333333,403.54375,NA,80.4629166666667,1.029375,0,0,101018.610416667
2017-09-30 00:00:00,106.75375,432.370833333333,NA,80.2135416666667,1.63125,0,0,101064.595416667
2017-10-01 00:00:00,51.6529166666667,438.2625,NA,80.2235416666667,2.27291666666667,0,0,101087.277291667
2017-10-02 00:00:00,210.573541666667,408.35,NA,80.3704166666667,2.363125,0,0,101606.252708333
2017-10-03 00:00:00,195.837291666667,396.691666666667,NA,80.0577083333333,2.48791666666667,0,0,101849.37875
2017-10-04 00:00:00,203.791458333333,397.289583333333,NA,79.8508333333333,2.40104166666667,0,0,101812.010416667
2017-10-05 00:00:00,136.408125,400.20625,NA,79.79375,2.54520833333333,0,0,101290.928125
2017-10-06 00:00:00,180.779791666667,435.01875,NA,80.38375,1.27541666666667,0,0,101156.960625
2017-10-07 00:00:00,164.880833333333,431.35625,NA,80.9027083333333,1.57208333333333,0,0,100945.84125
2017-10-08 00:00:00,151.739166666667,435.633333333333,NA,80.9010416666667,1.998125,0,0,100866.135625
2017-10-09 00:00:00,215.975,431.2375,NA,81.22,1.03666666666667,0,0,101061.047708333
2017-10-10 00:00:00,207.256458333333,413.36875,NA,56.0216666666667,1.04375,0,0,101304.164166667
2017-10-11 00:00:00,222.178541666667,399.945833333333,NA,61.08625,0.884583333333333,0,0,101294.414375
2017-10-12 00:00:00,236.769791666667,377.822916666667,NA,69.5910416666667,1.30104166666667,0,0,101192.680833333
2017-10-13 00:00:00,202.731458333333,388.447916666667,NA,79.6175,1.74208333333333,0,0,101280.821458333
2017-10-14 00:00:00,222.395744680851,389.9875,NA,80.4508333333333,1.95979166666667,0,0,101589.400416667
2017-10-15 00:00:00,179.641041666667,398.575,NA,80.9725,1.27895833333333,0,0,101518.023333333
2017-10-16 00:00:00,202.137916666667,403.825,NA,80.3470833333333,0.659791666666667,0,0,101076.834375
