time,ensemble,siteID,oxygen,temperature
2021-05-01,ens00_1,BARCO,7.95996354569287,16.8873052020977
2021-05-02,ens00_1,BARCO,7.98725832013884,16.8668986218209
2021-05-03,ens00_1,BARCO,8.01534893066329,16.897152265703
2021-05-04,ens00_1,BARCO,8.04260705110015,16.9967848411872
2021-05-05,ens00_1,BARCO,8.05641449907006,17.2493455291215
2021-05-06,ens00_1,BARCO,8.05294048739596,17.528126521322
2021-05-07,ens00_1,BARCO,8.04595681250612,17.5929779805577
2021-05-08,ens00_1,BARCO,8.06439904510651,17.4206438944903
2021-05-01,ens00_2,BARCO,7.96171286683826,16.8875513656662
2021-05-02,ens00_2,BARCO,7.99159599388329,16.8675383652881
2021-05-03,ens00_2,BARCO,8.02270157770542,16.8982849987776
2021-05-04,ens00_2,BARCO,8.05303842938729,16.9984599532233
2021-05-05,ens00_2,BARCO,8.06981952852653,17.2515933297075
2021-05-06,ens00_2,BARCO,8.06921677745696,17.530962862208
2021-05-07,ens00_2,BARCO,8.06491287383464,17.5963892309
2021-05-08,ens00_2,BARCO,8.08557682501812,17.42456594051
2021-05-01,ens00_3,BARCO,7.9597465963716,16.887385810123
2021-05-02,ens00_3,BARCO,7.98671295170014,16.8671081040198
2021-05-03,ens00_3,BARCO,8.01441347307127,16.8975231665856
2021-05-04,ens00_3,BARCO,8.0412651093381,16.9973333261607
2021-05-05,ens00_3,BARCO,8.05467256583263,17.250081518115
2021-05-06,ens00_3,BARCO,8.0508073405307,17.5290552015859
2021-05-07,ens00_3,BARCO,8.04345388069091,17.5940948856258
2021-05-08,ens00_3,BARCO,8.06158133564239,17.4219280276022
2021-05-01,ens00_4,BARCO,7.96069841116632,16.8873314089558
2021-05-02,ens00_4,BARCO,7.98908565465078,16.8669667268916
2021-05-03,ens00_4,BARCO,8.01845402902443,16.8972728488414
2021-05-04,ens00_4,BARCO,8.04702259520039,16.9969631572055
2021-05-05,ens00_4,BARCO,8.06210089209091,17.2495848025834
2021-05-06,ens00_4,BARCO,8.05985743740359,17.5284284383033
2021-05-07,ens00_4,BARCO,8.05402549326631,17.5933410886293
2021-05-08,ens00_4,BARCO,8.07342830981817,17.4210613670561
2021-05-01,ens00_5,BARCO,7.96001390496618,16.8873530883572
2021-05-02,ens00_5,BARCO,7.98738046892913,16.8670230667313
2021-05-03,ens00_5,BARCO,8.01555193289368,16.8973726018304
2021-05-04,ens00_5,BARCO,8.04288962667345,16.9971106709253
