Date,Dissolved_Oxygen_milliGramPerLiter,Water_Temperature_celsius
2017-08-01 00:00:00,NA,NA
2017-08-02 00:00:00,NA,NA
2017-08-03 00:00:00,NA,NA
2017-08-04 00:00:00,NA,NA
2017-08-05 00:00:00,NA,NA
2017-08-06 00:00:00,NA,NA
2017-08-07 00:00:00,NA,NA
2017-08-08 00:00:00,NA,NA
2017-08-09 00:00:00,NA,NA
2017-08-10 00:00:00,NA,NA
2017-08-11 00:00:00,NA,NA
2017-08-12 00:00:00,NA,NA
2017-08-13 00:00:00,NA,NA
2017-08-14 00:00:00,NA,NA
2017-08-15 00:00:00,NA,NA
2017-08-16 00:00:00,NA,NA
2017-08-17 00:00:00,NA,NA
2017-08-18 00:00:00,NA,NA
2017-08-19 00:00:00,NA,NA
2017-08-20 00:00:00,NA,NA
2017-08-21 00:00:00,NA,NA
2017-08-22 00:00:00,NA,NA
2017-08-23 00:00:00,NA,NA
2017-08-24 00:00:00,NA,NA
2017-08-25 00:00:00,NA,NA
2017-08-26 00:00:00,NA,NA
2017-08-27 00:00:00,NA,31.474375
2017-08-28 00:00:00,NA,31.09979167
2017-08-29 00:00:00,NA,30.900625
2017-08-30 00:00:00,NA,31.01354167
2017-08-31 00:00:00,NA,31.519375
2017-09-01 00:00:00,NA,31.52916667
2017-09-02 00:00:00,NA,31.05333333
2017-09-03 00:00:00,NA,30.69854167
2017-09-04 00:00:00,NA,31.1387234
2017-09-05 00:00:00,NA,30.84361702
2017-09-06 00:00:00,NA,30.773125
2017-09-07 00:00:00,NA,30.46458333
2017-09-08 00:00:00,NA,30.17291667
2017-09-09 00:00:00,NA,29.76125
2017-09-10 00:00:00,NA,28.93645833
2017-09-11 00:00:00,NA,27.135
2017-09-12 00:00:00,NA,26.55979167
2017-09-13 00:00:00,NA,26.9493617
2017-09-14 00:00:00,NA,27.71583333
2017-09-15 00:00:00,NA,NA
2017-09-16 00:00:00,NA,29.21586957
2017-09-17 00:00:00,NA,28.83145833
2017-09-18 00:00:00,NA,28.79041667
2017-09-19 00:00:00,NA,28.4906383
2017-09-20 00:00:00,NA,28.68895833
2017-09-21 00:00:00,NA,NA
2017-09-22 00:00:00,NA,28.998125
2017-09-23 00:00:00,NA,28.91395833
2017-09-24 00:00:00,NA,28.91291667
2017-09-25 00:00:00,NA,29.03333333
2017-09-26 00:00:00,NA,NA
2017-09-27 00:00:00,NA,29.68645833
2017-09-28 00:00:00,NA,29.8025
2017-09-29 00:00:00,NA,NA
2017-09-30 00:00:00,NA,29.834375
2017-10-01 00:00:00,NA,28.898125
2017-10-02 00:00:00,NA,28.22020833
