"Date","oxygen","temperature","BARCOairTdaily","BARCOraindaily","BARCOBaromdaily","BARCORHdaily","BARCOPARdaily","BARCOSWRaddaily","BARCOLWRaddaily","BARCOWspeeddaily","BARCOWdirectiondaily"
2017-08-01,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2017-08-02,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2017-08-03,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2017-08-04,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2017-08-05,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2017-08-06,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2017-08-07,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2017-08-08,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2017-08-09,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2017-08-10,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2017-08-11,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2017-08-12,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2017-08-13,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2017-08-14,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2017-08-15,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2017-08-16,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2017-08-17,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2017-08-18,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2017-08-19,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2017-08-20,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2017-08-21,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2017-08-22,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2017-08-23,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2017-08-24,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2017-08-25,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2017-08-26,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2017-08-27,NA,31.474375,26.2495208333333,0,100.82872625,81.6425,453.179714285714,212.809428571429,443.42,NA,NA
2017-08-28,NA,31.09979167,25.5773541666667,0,100.496768125,81.78125,292.984166666667,139.225625,446.241666666667,NA,NA
2017-08-29,NA,30.900625,25.6387708333333,0,100.937092291667,81.9458333333333,452.126875,216.593541666667,425.072916666667,NA,NA
2017-08-30,NA,31.01354167,26.9595833333333,0,101.186043958333,82.401875,537.9275,264.84375,431.827083333333,0.963333333333333,152.1725
2017-08-31,NA,31.519375,27.6605,0,101.288513125,82.4285416666667,490.59875,239.011666666667,416.50625,1.161875,130.689375
2017-09-01,NA,31.52916667,NA,0,101.219811041667,82.2335416666667,477.671041666667,229.032083333333,420.2875,1.23354166666667,111.677083333333
2017-09-02,NA,31.05333333,NA,0,101.27944125,81.9725,234.911458333333,109.052708333333,421.8375,1.039375,119.560208333333
2017-09-03,NA,30.69854167,NA,0,101.379994583333,82.3539583333333,565.267916666667,277.405208333333,400.06875,0.632291666666667,155.533958333333
2017-09-04,NA,31.1387234,NA,0,101.335296458333,82.3502083333333,393.968541666667,186.881875,411.489583333333,0.749791666666667,100.562083333333
2017-09-05,NA,30.84361702,NA,0,101.185030416667,82.386875,416.022083333333,198.314166666667,411.93125,0.763333333333333,121.510625
2017-09-06,NA,30.773125,NA,0,101.0236,82.3285416666667,282.124583333333,132.071875,425.84375,0.942083333333333,139.625833333333
2017-09-07,NA,30.46458333,NA,0,101.029799583333,82.1441666666667,403.786458333333,194.127708333333,417.495833333333,1.411875,234.901041666667
2017-09-08,NA,30.17291667,NA,0,101.17006625,82.2085416666667,447.563958333333,216.35875,409.970833333333,2.39916666666667,302.3275
2017-09-09,NA,29.76125,NA,0,101.017844375,82.158125,309.495416666667,146.067083333333,437.785416666667,2.970625,308.709375
2017-09-10,NA,28.93645833,NA,0,100.64942,82.2227083333333,57.5804166666667,22.43875,435.475,3.51479166666667,300.471666666667
2017-09-11,NA,27.135,NA,0,98.9145525,82.7702083333333,0,-0.0328571428571429,437.014285714286,5.92714285714286,308.381428571429
2017-09-12,NA,26.55979167,NA,0,100.422766041667,82.45375,NA,NA,NA,NA,NA
2017-09-13,NA,26.9493617,NA,0,100.90769375,82.3785416666667,NA,NA,NA,NA,NA
2017-09-14,NA,27.71583333,NA,0,101.083104375,82.6095833333333,771.268387096774,383.155666666667,412.693333333333,NA,NA
2017-09-15,NA,NA,NA,0,101.225965,82.7089583333333,437.670208333333,210.313541666667,430.6125,NA,NA
2017-09-16,NA,29.21586957,NA,0,101.236213333333,82.5172916666667,343.841041666667,163.444583333333,418.652083333333,NA,NA
2017-09-17,NA,28.83145833,NA,0,101.205699166667,82.2214583333333,497.695416666667,243.241875,393.4875,1.62135135135135,238.174285714286
2017-09-18,NA,28.79041667,NA,0,101.162455208333,81.868125,458.040208333333,222.87125,387.352083333333,1.32854166666667,254.663333333333
