Date,Dissolved_Oxygen_milliGramPerLiter,Water_Temperature_celsius
2017-08-01,NA,NA
2017-08-02,NA,NA
2017-08-03,NA,NA
2017-08-04,NA,NA
2017-08-05,NA,NA
2017-08-06,NA,NA
2017-08-07,NA,NA
2017-08-08,NA,NA
2017-08-09,NA,NA
2017-08-10,NA,NA
2017-08-11,NA,NA
2017-08-12,NA,NA
2017-08-13,NA,NA
2017-08-14,NA,NA
2017-08-15,NA,NA
2017-08-16,NA,NA
2017-08-17,NA,NA
2017-08-18,NA,NA
2017-08-19,NA,NA
2017-08-20,NA,NA
2017-08-21,NA,NA
2017-08-22,NA,NA
2017-08-23,NA,NA
2017-08-24,NA,NA
2017-08-25,NA,NA
2017-08-26,NA,NA
2017-08-27,NA,31.474375
2017-08-28,NA,31.0997916666667
2017-08-29,NA,30.900625
2017-08-30,NA,31.0135416666667
2017-08-31,NA,31.519375
2017-09-01,NA,31.5291666666667
2017-09-02,NA,31.0533333333333
2017-09-03,NA,30.6985416666667
2017-09-04,NA,31.1387234042553
2017-09-05,NA,30.8436170212766
2017-09-06,NA,30.773125
2017-09-07,NA,30.4645833333333
2017-09-08,NA,30.1729166666667
2017-09-09,NA,29.76125
2017-09-10,NA,28.9364583333333
2017-09-11,NA,27.135
2017-09-12,NA,26.5597916666667
2017-09-13,NA,26.9493617021277
2017-09-14,NA,27.7158333333333
2017-09-15,NA,NA
2017-09-16,NA,29.2158695652174
2017-09-17,NA,28.8314583333333
2017-09-18,NA,28.7904166666667
2017-09-19,NA,28.4906382978723
2017-09-20,NA,28.6889583333333
2017-09-21,NA,NA
2017-09-22,NA,28.998125
2017-09-23,NA,28.9139583333333
2017-09-24,NA,28.9129166666667
2017-09-25,NA,29.0333333333333
2017-09-26,NA,NA
2017-09-27,NA,29.6864583333333
2017-09-28,NA,29.8025
2017-09-29,NA,NA
2017-09-30,NA,29.834375
2017-10-01,NA,28.898125
2017-10-02,NA,28.2202083333333
2017-10-03,NA,27.9085416666667
2017-10-04,NA,27.634375
2017-10-05,NA,27.3333333333333
2017-10-06,NA,27.2770833333333
2017-10-07,NA,NA
2017-10-08,NA,28.3891666666667
2017-10-09,NA,28.509347826087
2017-10-10,NA,NA
2017-10-11,NA,29.3751111111111
2017-10-12,NA,29.2610416666667
2017-10-13,NA,28.8127083333333
2017-10-14,NA,28.5477083333333
2017-10-15,NA,28.5510638297872
2017-10-16,NA,28.5622916666667
2017-10-17,NA,28.2672340425532
2017-10-18,NA,27.160625
2017-10-19,NA,26.5789583333333
2017-10-20,6.00636363636364,26.429375
2017-10-21,6.05670138888889,26.346875
2017-10-22,6.13142361111111,26.4120833333333
2017-10-23,6.42510416666667,26.5689583333333
2017-10-24,6.31440972222222,26.43375
2017-10-25,6.27038194444444,25.8808333333333
2017-10-26,6.29569444444444,24.9770833333333
2017-10-27,6.40621527777778,24.349375
