model,interval,siteID,runStartDate,runEndDate,ensemble,air_temperature,air_pressure,relative_humidity,surface_downwelling_longwave_flux_in_air,surface_downwelling_shortwave_flux_in_air,precipitation_flux,specific_humidity,cloud_area_fraction,wind_speed,time,latitude,longitude
NOAAGEFS,6hr,POSE,2021-05-01T00,2021-05-17T00,ens00,282.2157897949219,98624.0234375,0.7075170874595642,NA,NA,NA,0.005158734507858753,NA,6.917727470397949,2021-05-01T00:00:00Z,38.89332,281.85321999999996
NOAAGEFS,6hr,POSE,2021-05-01T00,2021-05-17T00,ens00,279.2157897949219,98914,0.4420500099658966,250,0,0,0.0026145437732338905,0,7.820013999938965,2021-05-01T06:00:00Z,38.89332,281.85321999999996
NOAAGEFS,6hr,POSE,2021-05-01T00,2021-05-17T00,ens00,279.2113037109375,99398.6484375,0.4660000205039978,239,37,0,0.0027421219274401665,0,6.359190940856934,2021-05-01T12:00:00Z,38.89332,281.85321999999996
NOAAGEFS,6hr,POSE,2021-05-01T00,2021-05-17T00,ens00,291.2225646972656,99098.0859375,0.21899999678134918,250,790,0,0.00285309087485075,0,3.2397620677948,2021-05-01T18:00:00Z,38.89332,281.85321999999996
NOAAGEFS,6hr,POSE,2021-05-01T00,2021-05-17T00,ens00,285.73944091796875,98783.2890625,0.5105032920837402,283,536,0,0.004696584772318602,0.009999999776482582,0.89600670337677,2021-05-02T00:00:00Z,38.89332,281.85321999999996
NOAAGEFS,6hr,POSE,2021-05-01T00,2021-05-17T00,ens00,283.82366943359375,98708.2421875,0.4829999804496765,300,0,0,0.00391613831743598,0.3100000023841858,2.176332473754883,2021-05-02T06:00:00Z,38.89332,281.85321999999996
NOAAGEFS,6hr,POSE,2021-05-01T00,2021-05-17T00,ens00,287.124755859375,98653.9765625,0.649036169052124,298,34,0,0.006551920901983976,0.17000000178813934,2.8469491004943848,2021-05-02T12:00:00Z,38.89332,281.85321999999996
NOAAGEFS,6hr,POSE,2021-05-01T00,2021-05-17T00,ens00,300.6495361328125,98537.1015625,0.34606674313545227,334,741,0,0.008060639724135399,0.029999999329447746,4.560469627380371,2021-05-02T18:00:00Z,38.89332,281.85321999999996
NOAAGEFS,6hr,POSE,2021-05-01T00,2021-05-17T00,ens00,293.1358947753906,98453.65625,0.6523301601409912,381,373,0,0.009679265320301056,0.8299999833106995,2.4166085720062256,2021-05-03T00:00:00Z,38.89332,281.85321999999996
NOAAGEFS,6hr,POSE,2021-05-01T00,2021-05-17T00,ens00,289.12371826171875,98544.1171875,0.710883378982544,339,0,0,0.008179382421076298,1,2.493645668029785,2021-05-03T06:00:00Z,38.89332,281.85321999999996
NOAAGEFS,6hr,POSE,2021-05-01T00,2021-05-17T00,ens00,287.65521240234375,98587.5625,0.960845947265625,368,3,4.3981479393551126e-5,0.010066772811114788,1,1.7867894172668457,2021-05-03T12:00:00Z,38.89332,281.85321999999996
NOAAGEFS,6hr,POSE,2021-05-01T00,2021-05-17T00,ens00,291.29718017578125,98369.765625,0.8812898993492126,382,96,6.944444612599909e-5,0.011682918295264244,1,4.685741424560547,2021-05-03T18:00:00Z,38.89332,281.85321999999996
NOAAGEFS,6hr,POSE,2021-05-01T00,2021-05-17T00,ens00,291.6381530761719,98133.734375,0.9118985533714294,388,81,2.3148148102336563e-5,0.01238514855504036,1,2.7511541843414307,2021-05-04T00:00:00Z,38.89332,281.85321999999996
NOAAGEFS,6hr,POSE,2021-05-01T00,2021-05-17T00,ens00,290.38543701171875,98142.8359375,0.9609968662261963,382,0,6.944444612599909e-5,0.012058202177286148,1,2.6089882850646973,2021-05-04T06:00:00Z,38.89332,281.85321999999996
NOAAGEFS,6hr,POSE,2021-05-01T00,2021-05-17T00,ens00,292.2696533203125,98154.234375,0.9390000104904175,358,34,0,0.013271268457174301,0.800000011920929,3.232253313064575,2021-05-04T12:00:00Z,38.89332,281.85321999999996
NOAAGEFS,6hr,POSE,2021-05-01T00,2021-05-17T00,ens00,304.5348815917969,98156.53125,0.3811333179473877,388,683,0,0.011174937710165977,0.5600000023841858,6.752716064453125,2021-05-04T18:00:00Z,38.89332,281.85321999999996
NOAAGEFS,6hr,POSE,2021-05-01T00,2021-05-17T00,ens00,294.8302001953125,98116.4140625,0.6805583834648132,401,311,1.3888889043300878e-5,0.011257876642048359,0.9800000190734863,1.8367618322372437,2021-05-05T00:00:00Z,38.89332,281.85321999999996
NOAAGEFS,6hr,POSE,2021-05-01T00,2021-05-17T00,ens00,291.065185546875,98109.109375,0.933475136756897,382,0,9.722222603159025e-5,0.012231887318193913,1,2.1942532062530518,2021-05-05T06:00:00Z,38.89332,281.85321999999996
