"Date","oxygen","temperature","BARCOairTdaily","BARCOraindaily","BARCOBaromdaily","BARCOLWRaddaily","BARCORHdaily","BARCOSWRaddaily","BARCOWspeeddaily"
2017-10-20,6.00636363636364,26.429375,NA,0,101.718195416667,375.902083333333,79.84625,213.075416666667,NA
2017-10-21,6.05670138888889,26.346875,NA,0,101.751560208333,373.397916666667,80.1147916666667,178.352916666667,NA
2017-10-22,6.13142361111111,26.4120833333333,NA,0,101.699455833333,415.20625,80.4729166666667,164.372916666667,NA
2017-10-23,6.42510416666667,26.5689583333333,NA,0,101.291743541667,423.666666666667,80.5945833333333,96.1377083333333,NA
2017-10-24,6.31440972222222,26.43375,NA,0,100.984822916667,362.577083333333,74.344375,231.503695652174,NA
2017-10-25,6.27038194444444,25.8808333333333,NA,0,100.88377625,302.508333333333,69.9183333333333,243.024318181818,NA
2017-10-26,6.29569444444444,24.9770833333333,NA,0,101.24142375,283.995833333333,77.83125,380.070714285714,NA
2017-10-27,6.40621527777778,24.349375,NA,0,101.399742083333,311.1,78.2808333333333,227.69075,NA
2017-10-28,6.47510416666667,24.0504166666667,NA,0,100.84700625,344.097916666667,79.059375,160.29,NA
2017-10-29,6.64375,23.8454166666667,NA,0,100.327264791667,335.920833333333,78.4747916666667,223.098043478261,NA
2017-10-30,6.8408362369338,22.8920833333333,NA,0,101.240718125,268.322916666667,76.693125,432.887083333333,NA
2017-10-31,6.81209059233449,22.3510416666667,NA,0,101.609021666667,296.289583333333,77.2983333333333,236.924285714286,0.915
2017-11-01,6.87357638888889,22.1164583333333,NA,0,101.666260208333,326.445833333333,77.8795833333333,185.912666666667,0.679791666666667
2017-11-02,6.86686411149826,22.1410869565217,NA,0,101.587585833333,349.047916666667,78.4283333333333,184.663125,0.750416666666667
2017-11-03,6.92184027777778,22.4572916666667,NA,0,101.607915,349.741666666667,78.5279166666667,189.841458333333,0.85375
2017-11-04,7.0348,22.6441666666667,NA,0,101.380899166667,343.139583333333,78.4964583333333,194.088723404255,0.076
2017-11-06,7.11983402489627,22.8454347826087,NA,0,101.444864375,375.914583333333,79.22625,185.105,0.794285714285714
2017-11-07,7.1265625,23.234375,NA,0,101.45579125,364.59375,79.135625,187.743125,0.476086956521739
2017-11-08,7.21109154929577,23.3329166666667,NA,0,101.220597708333,367.514583333333,79.1810416666667,165.36125,0.471395348837209
2017-11-09,7.16965277777778,23.5866666666667,NA,0,101.257465625,378.84375,79.5091666666667,120.648125,0.583541666666667
2017-11-10,6.9678125,23.0933333333333,NA,0,101.413808333333,375.14375,78.2785416666667,74.4883333333333,2.33791666666667
2017-11-11,6.90621527777778,22.49,NA,0,101.856377916667,340.366666666667,78.5360416666667,124.047083333333,2.18833333333333
2017-11-12,6.93395833333333,22.2839583333333,NA,0,101.764484166667,375.20625,79.4741666666667,146.735625,2.13541666666667
2017-11-13,7.09854166666667,22.4189583333333,NA,0,101.7684225,382.43125,79.1383333333333,149.809583333333,1.93333333333333
2017-11-14,7.21715277777778,22.2385416666667,NA,0,101.509751041667,343.03125,78.56875,107.937708333333,2.3575
2017-11-15,7.37135416666667,21.6029166666667,NA,0,101.475889583333,317.939583333333,77.8222916666667,122.183541666667,2.46270833333333
