time,ensemble,siteID,oxygen,temperature,obs_flag,forecast,data_assimilation
2021-03-01,1,BARC,8.979500768957472,19.08382328846686,2,1,0
2021-03-01,2,BARC,8.668692113738883,21.574995017204646,2,1,0
2021-03-01,3,BARC,8.726070511578584,28.89959684911046,2,1,0
2021-03-01,4,BARC,8.116226848693191,28.150268052520392,2,1,0
2021-03-01,5,BARC,8.180279481280083,17.638296666664534,2,1,0
2021-03-01,6,BARC,8.704152431633462,34.11383937195429,2,1,0
2021-03-01,7,BARC,8.833020448623332,14.873569143924582,2,1,0
2021-03-01,8,BARC,8.251300495882434,23.748342752604742,2,1,0
2021-03-01,9,BARC,8.46902929115626,14.969475832354062,2,1,0
2021-03-01,10,BARC,8.682613964934704,26.32209298570034,2,1,0
2021-03-01,11,BARC,8.136415867212577,44.25217987712809,2,1,0
2021-03-01,12,BARC,8.859803625888533,28.39706741032303,2,1,0
2021-03-01,13,BARC,8.800207530619192,24.09105663630645,2,1,0
2021-03-01,14,BARC,8.673093281864526,34.11227217779548,2,1,0
2021-03-01,15,BARC,8.4338980110048,25.564965998421737,2,1,0
2021-03-01,16,BARC,8.216376255603866,27.460186084318444,2,1,0
2021-03-01,17,BARC,8.278233363534357,17.924673807688016,2,1,0
2021-03-01,18,BARC,8.485446343561916,33.118507311992495,2,1,0
2021-03-01,19,BARC,8.409728669717586,22.82892965921596,2,1,0
2021-03-01,20,BARC,8.353319312913866,28.130185613878147,2,1,0
2021-03-01,21,BARC,8.558050233249222,26.87354456644298,2,1,0
2021-03-01,22,BARC,8.359848171159545,33.01718806212116,2,1,0
2021-03-01,23,BARC,7.993860957789618,21.270839451309765,2,1,0
2021-03-01,24,BARC,9.232929898933367,31.66141340686088,2,1,0
2021-03-01,25,BARC,8.995303932114123,26.992285576105388,2,1,0
2021-03-01,26,BARC,8.722717360147184,14.543215553785132,2,1,0
2021-03-01,27,BARC,9.318998002319857,19.56888412464145,2,1,0
2021-03-01,28,BARC,8.034083936188104,21.64819921207768,2,1,0
2021-03-01,29,BARC,9.10692961921848,30.091279739719322,2,1,0
2021-03-01,30,BARC,9.274731879530242,20.277132421240893,2,1,0
2021-03-01,31,BARC,8.753764161908697,17.005678200187717,2,1,0
2021-03-01,32,BARC,8.874788440470972,21.376532907942494,2,1,0
2021-03-01,33,BARC,8.506836133738938,43.343656092495834,2,1,0
2021-03-01,34,BARC,8.295361057214242,30.44629035825399,2,1,0
2021-03-01,35,BARC,7.969657469850005,31.24917514408101,2,1,0
2021-03-01,36,BARC,8.841271957585906,33.221922827467125,2,1,0
2021-03-01,37,BARC,8.747456972915627,17.666233414443138,2,1,0
2021-03-01,38,BARC,8.041729192485029,38.57064590643027,2,1,0
2021-03-01,39,BARC,8.917651986685623,30.64161027793975,2,1,0
2021-03-01,40,BARC,8.503782418382968,28.294268720555873,2,1,0
2021-03-01,41,BARC,8.802060513004193,18.308277876576355,2,1,0
2021-03-01,42,BARC,8.701303148781673,27.086392292354283,2,1,0
2021-03-01,43,BARC,8.41532092201786,26.918876427953368,2,1,0
2021-03-01,44,BARC,8.568723944211843,18.046766248182365,2,1,0
2021-03-01,45,BARC,7.91325413096001,19.02384005717935,2,1,0
2021-03-01,46,BARC,8.77814685976064,37.628121736872195,2,1,0
2021-03-01,47,BARC,8.513137645373737,22.67948108173423,2,1,0
2021-03-01,48,BARC,8.289849890065012,40.88300149418751,2,1,0
2021-03-01,49,BARC,8.141180045079857,24.329939762374018,2,1,0
2021-03-01,50,BARC,8.654990502266816,19.947650204252366,2,1,0
2021-03-01,51,BARC,8.71940394772936,26.371579347883387,2,1,0
2021-03-01,52,BARC,8.870286986203869,23.476131333881455,2,1,0
2021-03-01,53,BARC,8.830924869221127,30.170934197754665,2,1,0
2021-03-01,54,BARC,8.718934606426586,38.48516397121733,2,1,0
2021-03-01,55,BARC,8.786068476265603,30.130538677764086,2,1,0
2021-03-01,56,BARC,8.433255129632188,32.18832646233469,2,1,0
